Date,EWA,EWC
4/1/10,23.72,26.92
5/1/10,23.79,27.07
6/1/10,23.88,27.28
7/1/10,23.77,27.19
8/1/10,24.05,27.33
11/1/10,24.29,27.25
12/1/10,23.49,26.77
13/1/10,23.85,27.04
14/1/10,24.15,27.12
15/1/10,23.64,26.72
19/1/10,23.99,26.75
20/1/10,23.28,26.14
21/1/10,22.5,25.6
22/1/10,22.04,25.08
25/1/10,22.378,25.15
26/1/10,21.98,25.07
27/1/10,21.88,24.95
28/1/10,21.68,24.69
29/1/10,21.1,24.44
1/2/10,21.61,24.9
2/2/10,21.76,25.2
3/2/10,21.49,25.09
4/2/10,20.47,24.33
5/2/10,20.59,24.505
8/2/10,20.46,24.25
9/2/10,21.06,24.73
10/2/10,20.93,24.92
11/2/10,21.66,25.49
12/2/10,21.28,25.5
16/2/10,22.14,26.08
17/2/10,22.38,26.11
18/2/10,22.55,26.42
19/2/10,22.38,26.44
22/2/10,22.68,26.28
23/2/10,22.22,25.62
24/2/10,22.34,25.72
25/2/10,21.82,25.83
26/2/10,22.14,25.91
1/3/10,22.77,26.44
2/3/10,22.89,26.83
3/3/10,23.15,27.03
4/3/10,23.02,26.95
5/3/10,23.61,27.36
8/3/10,23.48,27.42
9/3/10,23.72,27.3625
10/3/10,23.8,27.41
11/3/10,23.73,27.51
12/3/10,23.72,27.69
15/3/10,23.47,27.65
16/3/10,23.89,28.05
17/3/10,24.16,28.19
18/3/10,23.98,27.92
19/3/10,23.75,27.73
22/3/10,23.91,27.67
23/3/10,24.25,27.92
24/3/10,23.76,27.47
25/3/10,23.82,27.52
26/3/10,23.83,27.48
29/3/10,24.22,27.82
30/3/10,24.26,27.91
31/3/10,24.01,27.91
1/4/10,24.47,28.42
5/4/10,24.62,28.63
6/4/10,24.78,28.61
7/4/10,24.6,28.37
8/4/10,24.59,28.46
9/4/10,24.79,28.62
12/4/10,24.71,28.57
13/4/10,24.66,28.48
14/4/10,25.12,28.78
15/4/10,25.07,28.74
16/4/10,24.48,28.07
19/4/10,24.32,28.11
20/4/10,24.67,28.64
21/4/10,24.55,28.57
22/4/10,24.38,28.65
23/4/10,24.29,28.77
26/4/10,24.24,28.85
27/4/10,23.35,28.04
28/4/10,23.75,28.11
29/4/10,23.96,28.62
30/4/10,23.44,28.23
3/5/10,23.73,28.46
4/5/10,22.49,27.63
5/5/10,22.3,27.14
6/5/10,20.81,26.39
7/5/10,20.84,26.36
10/5/10,22.43,27.51
11/5/10,21.92,27.67
12/5/10,22.08,28.16
13/5/10,21.95,27.86
14/5/10,21.21,27.36
17/5/10,21,27.04
18/5/10,20.44,26.81
19/5/10,19.73,26.49
20/5/10,18.47,25.2
21/5/10,19.29,25.68
24/5/10,19.25,25.36
25/5/10,19.1,25.43
26/5/10,18.94,25.47
27/5/10,20.24,26.39
28/5/10,20.11,26.17
1/6/10,19.48,25.86
2/6/10,20.06,26.721
3/6/10,20.12,26.67
4/6/10,19.08,25.7
7/6/10,18.65,25.48
8/6/10,19.43,25.91
9/6/10,19.48,25.79
10/6/10,20.52,26.59
11/6/10,20.63,26.59
14/6/10,20.78,26.66
15/6/10,21.23,27.38
16/6/10,21.09,27.43
17/6/10,21.04,27.43
18/6/10,21.23,27.62
21/6/10,21.46,27.51
22/6/10,21.06,27.08
23/6/10,20.74,26.65
24/6/10,20.32,26.2
25/6/10,20.44,26.43
28/6/10,20.16,26.25
29/6/10,19.2,25.03
30/6/10,18.98,24.87
1/7/10,18.99,24.61
2/7/10,18.98,24.61
6/7/10,19.28,24.82
7/7/10,19.88,25.44
8/7/10,20.35,25.65
9/7/10,20.5,26.21
12/7/10,20.36,26.14
13/7/10,20.62,26.44
14/7/10,20.73,26.31
15/7/10,20.71,26.47
